T0A 0E1,Abee,AB,7,54.2355,-113.025,,0
T0J 0A0,Acadia Valley,AB,7,51.157,-110.206,,0
T7X 5A2,Acheson,AB,7,53.527,-113.738,,0
T0M 0A0,Acme,AB,7,51.6077,-113.673,,0
T0K 0A0,Aden,AB,7,49.1183,-110.933,,0
T0K 1Y0,Aetna,AB,7,49.1226,-113.11,,0
T4B 2W4,Airdrie,AB,7,51.2873,-114.025,,0
T0E 0A0,Alberta Beach,AB,7,53.6772,-114.351,,0
T0G 0A0,Alcomdale,AB,7,53.9367,-113.781,,0
T0C 0A0,Alder Flats,AB,7,52.9313,-114.941,,0
T0L 0A0,Aldersyde,AB,7,50.682,-113.846,,0
T0M 0C0,Alhambra,AB,7,52.353,-114.743,,0
T0C 0C3,Alix,AB,7,52.685,-113.237,,0
T0B 0E7,Alliance,AB,7,53.122,-111.718,,0
T0C 0C0,Alsike,AB,7,53.1997,-114.459,,0
T0C 0C9,Altario,AB,7,51.9183,-110.147,,0
T0B 9S9,Amisk,AB,7,52.5645,-111.057,,0
T0B 0C0,Andrew,AB,7,53.9061,-112.171,,0
T0P 1J0,Anzac,AB,7,56.4489,-111.037,,0
T0A 0B0,Ardmore,AB,7,54.523,-110.348,,0
T8E 2B7,Ardrossan,AB,7,53.606,-113.075,,0
T0B 0G0,Armena,AB,7,53.1191,-112.948,,0
T0L 0B0,Arrowwood,AB,7,50.7394,-113.154,,0
T0A 0C7,Ashmont,AB,7,54.3455,-111.616,,0
T9S 1M9,Athabasca,AB,7,54.7167,-113.256,,0
T0G 0C0,Atikameg,AB,7,56.2396,-115.494,,0
T0A 0C2,Atmore,AB,7,54.8192,-112.55,,0
T0M 0E0,Balzac,AB,7,51.2395,-113.99,,0
T1L 1A1,Banff,AB,7,51.1791,-115.57,,0
T0K 0C1,Barnwell,AB,7,49.7605,-112.263,,0
T0L 0G0,Barons,AB,7,49.9975,-113.076,,0
T7N 1C7,Barrhead,AB,7,54.1273,-114.414,,0
T0B 0H0,Bashaw,AB,7,52.5379,-112.848,,0
T0J 0B0,Bassano,AB,7,50.9849,-112.563,,0
T0B 0C3,Bawlf,AB,7,53.122,-111.718,,0
T0H 0A0,Bay Tree,AB,7,55.7807,-119.913,,0
T0H 0B0,Bear Canyon,AB,7,56.3919,-119.711,,0
T4X 0C8,Beaumont,AB,7,53.3548,-113.418,,0
T0B 0K0,Beauvallon,AB,7,53.6729,-111.317,,0
T0B 4J2,Beaver County,AB,7,53.0616,-111.614,,0
T0H 0C2,Beaverlodge,AB,7,55.214,-119.423,,0
T0M 0G0,Beiseker,AB,7,51.4621,-113.685,,0
T0K 0B7,Bellevue,AB,7,49.582,-114.366,,0
T0A 0J0,Bellis,AB,7,54.1642,-112.213,,0
T0M 0H0,Benalto,AB,7,52.3063,-114.275,,0
T0C 0E2,Bentley,AB,7,52.685,-113.237,,0
T0H 0E0,Berwyn,AB,7,56.2124,-117.844,,0
